start,end,chr,reads,gc,map,cor_gc,copy,valid,ideal,modal_curve,modal_quantile,cor_map,multiplier,state,cell_id
1,500000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,1,1,SA01-Library-10-10
500001,1000000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,1,1,SA01-Library-10-10
1000001,1500000,1,276,0.598332,0.982072,1.03736628456038,1.0271712364176,TRUE,FALSE,266.058386616031,46,NA,1,1,SA01-Library-10-10
1500001,2000000,1,258,0.539498,0.963004,1.06865617599091,1.05815361645678,TRUE,FALSE,241.424703095708,46,NA,1,1,SA01-Library-10-10
2000001,2500000,1,264,0.594508,0.997066,0.998220521290524,0.988410190626101,TRUE,FALSE,264.470619837282,46,NA,1,1,SA01-Library-10-10
2500001,3000000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,1,1,SA01-Library-10-10
3000001,3500000,1,275,0.584572,0.996989,1.05632551653541,1.04594414049129,TRUE,FALSE,260.336416848055,46,NA,1,1,SA01-Library-10-10
3500001,4000000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,1,1,SA01-Library-10-10
4000001,4500000,1,215,0.482574,0.996234,0.989994030226045,0.980264548027296,TRUE,TRUE,217.173026741292,46,NA,1,1,SA01-Library-10-10
4500001,5000000,1,203,0.481828,0.999002,0.936120274570936,0.926920253894805,TRUE,TRUE,216.852476668176,46,NA,1,1,SA01-Library-10-10
5000001,5500000,1,215,0.447446,0.997099,1.06434456771902,1.05388438189084,TRUE,TRUE,202.002252391594,46,NA,1,1,SA01-Library-10-10
5500001,6000000,1,217,0.49113,0.997494,0.982592159354963,0.972935421403834,TRUE,TRUE,220.84442454991,46,NA,1,1,SA01-Library-10-10
6000001,6500000,1,228,0.545072,0.997854,0.935279691054943,0.926087931481512,TRUE,TRUE,243.777345087894,46,NA,1,1,SA01-Library-10-10
6500001,7000000,1,212,0.489968,0.999179,0.962121666992568,0.95266610933643,TRUE,TRUE,220.346352517636,46,NA,1,1,SA01-Library-10-10
7000001,7500000,1,222,0.470672,0.99554,1.04692083094315,1.03663188244734,TRUE,TRUE,212.050418177279,46,NA,1,1,SA01-Library-10-10
7500001,8000000,1,225,0.48825,0.998566,1.02454515738997,1.01447611296516,TRUE,TRUE,219.609646658414,46,NA,1,1,SA01-Library-10-10
8000001,8500000,1,213,0.462702,0.998576,1.02104357096414,1.01100893949714,TRUE,TRUE,208.610098586559,46,NA,1,1,SA01-Library-10-10
8500001,9000000,1,178,0.42601,0.997957,0.923870006590903,0.914790379331906,TRUE,TRUE,192.667798207697,46,NA,1,1,SA01-Library-10-10
9000001,9500000,1,239,0.506692,0.999332,1.05055720917742,1.04023252301429,TRUE,TRUE,227.49831985555,46,NA,1,1,SA01-Library-10-10
9500001,10000000,1,227,0.497248,0.999216,1.01582366671678,1.00584033552423,TRUE,TRUE,223.463980450152,46,NA,1,1,SA01-Library-10-10
10000001,10500000,1,185,0.445162,0.999742,0.920350198777553,0.91130516355287,TRUE,TRUE,201.010441727208,46,NA,1,1,SA01-Library-10-10
10500001,11000000,1,226,0.511386,0.999463,0.984752366557766,0.975074398481118,TRUE,TRUE,229.49932152993,46,NA,1,1,SA01-Library-10-10
11000001,11500000,1,196,0.480212,0.996129,0.906744758425475,0.897833435006792,TRUE,TRUE,216.15785277915,46,NA,1,1,SA01-Library-10-10
11500001,12000000,1,235,0.519874,0.9993,1.00810528716766,0.99819781081275,TRUE,TRUE,233.110571873152,46,NA,1,1,SA01-Library-10-10
12000001,12500000,1,189,0.476294,0.998406,0.881232437781551,0.872571844833937,TRUE,TRUE,214.472359274241,46,NA,1,1,SA01-Library-10-10
12500001,13000000,1,190,0.462062,0.982103,0.911999324108239,0.903036359768792,TRUE,TRUE,208.333487731237,46,NA,1,1,SA01-Library-10-10
13000001,13500000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,1,1,SA01-Library-10-10
13500001,14000000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,1,1,SA01-Library-10-10
14000001,14500000,1,208,0.4314,0.996742,1.06655512449765,1.05607321371743,TRUE,TRUE,195.020393435331,46,NA,1,1,SA01-Library-10-10
14500001,15000000,1,225,0.431124,0.996247,1.15443807825974,1.14309246971155,TRUE,TRUE,194.900016065978,46,NA,1,1,SA01-Library-10-10
15000001,15500000,1,227,0.494934,0.999853,1.02034510338627,1.01031733633225,TRUE,TRUE,222.473748584322,46,NA,1,1,SA01-Library-10-10
15500001,16000000,1,224,0.472726,0.998952,1.05196055903037,1.0416220809988,TRUE,TRUE,212.935739916399,46,NA,1,1,SA01-Library-10-10
16000001,16500000,1,244,0.513082,0.997441,1.05984832724225,1.04943232965192,TRUE,TRUE,230.221621083173,46,NA,1,1,SA01-Library-10-10
16500001,17000000,1,207,0.479312,0.985594,0.959351081031102,0.949922752192481,TRUE,TRUE,215.770851873663,46,NA,1,1,SA01-Library-10-10
17000001,17500000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,1,1,SA01-Library-10-10
17500001,18000000,1,240,0.513392,0.999589,1.04187646298109,1.03163708962088,TRUE,TRUE,230.353605755998,46,NA,1,1,SA01-Library-10-10
18000001,18500000,1,240,0.494528,0.999523,1.07962243007498,1.06901209617995,TRUE,TRUE,222.299938677017,46,NA,1,1,SA01-Library-10-10
18500001,19000000,1,227,0.488698,0.999556,1.032748630662,1.02259896398622,TRUE,TRUE,219.801792285594,46,NA,1,1,SA01-Library-10-10
19000001,19500000,1,250,0.49686,0.999692,1.11958015944541,1.10857712821611,TRUE,TRUE,223.297990671646,46,NA,1,1,SA01-Library-10-10
19500001,20000000,1,208,0.477782,0.998335,0.966934940753983,0.957432079114235,TRUE,TRUE,215.112714654627,46,NA,1,1,SA01-Library-10-10
20000001,20500000,1,201,0.462494,0.999567,0.963935361911881,0.954461979590247,TRUE,TRUE,208.5202057546,46,NA,1,1,SA01-Library-10-10
20500001,21000000,1,204,0.485118,0.99975,0.934640960431455,0.925455478187018,TRUE,TRUE,218.26563208382,46,NA,1,1,SA01-Library-10-10
21000001,21500000,1,206,0.41547,0.995106,1.0954142030279,1.08464867044566,TRUE,TRUE,188.056718116839,46,NA,1,1,SA01-Library-10-10
21500001,22000000,1,234,0.505598,0.997961,1.03069371510506,1.02056424376755,TRUE,TRUE,227.031558037733,46,NA,1,1,SA01-Library-10-10
22000001,22500000,1,206,0.48992,0.992288,0.934979125938536,0.925790320264684,TRUE,TRUE,220.325774431826,46,NA,1,1,SA01-Library-10-10
22500001,23000000,1,217,0.493016,0.999995,0.979010101143941,0.96938856701277,TRUE,TRUE,221.65246277484,46,NA,1,1,SA01-Library-10-10
23000001,23500000,1,216,0.47373,0.998816,1.01233410709659,1.00238507066459,TRUE,TRUE,213.368292627713,46,NA,1,1,SA01-Library-10-10
23500001,24000000,1,214,0.472092,0.999129,1.00628917450013,0.996399546571915,TRUE,TRUE,212.662528250195,46,NA,1,1,SA01-Library-10-10
24000001,24500000,1,224,0.473276,0.917174,1.05079115423045,1.04046416889767,TRUE,TRUE,213.172711911575,46,NA,1,1,SA01-Library-10-10
24500001,25000000,1,214,0.456138,0.999192,1.03999285955594,1.02977199790937,TRUE,TRUE,205.770643551701,46,NA,1,1,SA01-Library-10-10
25000001,25500000,1,234,0.482684,0.99398,1.07724744945719,1.06666045644194,TRUE,TRUE,217.22028686901,46,NA,1,1,SA01-Library-10-10
25500001,26000000,1,213,0.465824,0.98842,1.01448524713053,1.0045150696835,TRUE,TRUE,209.958696395507,46,NA,1,1,SA01-Library-10-10
26000001,26500000,1,224,0.487938,0.999261,1.02061358814582,1.01058318247216,TRUE,TRUE,219.475815922604,46,NA,1,1,SA01-Library-10-10
26500001,27000000,1,200,0.48615,0.997855,0.914458678278053,0.905471543850822,TRUE,TRUE,218.708624840878,46,NA,1,1,SA01-Library-10-10
27000001,27500000,1,225,0.492838,0.996179,1.01545193032908,1.00547225249449,TRUE,TRUE,221.576219690758,46,NA,1,1,SA01-Library-10-10
27500001,28000000,1,237,0.498338,0.998121,1.05836555666187,1.04796413147251,TRUE,TRUE,223.93018981788,46,NA,1,1,SA01-Library-10-10
28000001,28500000,1,220,0.444136,0.99659,1.09690293138931,1.08612276785411,TRUE,TRUE,200.564693287267,46,NA,1,1,SA01-Library-10-10
28500001,29000000,1,221,0.460588,0.998864,1.0640540262077,1.05359669576891,TRUE,TRUE,207.696220827853,46,NA,1,1,SA01-Library-10-10
29000001,29500000,1,197,0.449012,0.99845,0.971966442699556,0.962414132369091,TRUE,TRUE,202.681894503321,46,NA,1,1,SA01-Library-10-10
29500001,30000000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,1,1,SA01-Library-10-10
30000001,30500000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,1,1,SA01-Library-10-10
30500001,31000000,1,270,0.481586,0.990276,1.24568349849119,1.23344114646299,TRUE,FALSE,216.748476099291,46,NA,1,1,SA01-Library-10-10
31000001,31500000,1,218,0.479274,0.995912,1.01040761756718,1.0004775143257,TRUE,TRUE,215.754509575938,46,NA,1,1,SA01-Library-10-10
