chromosome	start	end	total_cn	major_cn	minor_cn	star	level	methods_agree	absolute_broad_major_cn	absolute_broad_minor_cn	absolute_broad_het_error	absolute_broad_cov_error	aceseq_copy_number	aceseq_minor_cn	aceseq_major_cn	battenberg_nMaj1_A	battenberg_nMin1_A	battenberg_frac1_A	battenberg_nMaj2_A	battenberg_nMin2_A	battenberg_frac2_A	battenberg_SDfrac_A	battenberg_SDfrac_A_BS	battenberg_frac1_A_0.025	battenberg_frac1_A_0.975	clonehd_copy_number	clonehd_minor_cn	clonehd_major_cn	sclust_nMaj1_A	sclust_nMin1_A	sclust_frac1_A	sclust_nMaj2_A	sclust_nMin2_A	sclust_frac2_A	jabba_copy_number	jabba_minor_cn	jabba_major_cn
1	10001	182499	2	1	1	2	d	2	1	1	0.05	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA
1	182500	89009848	2	1	1	3	b	5	1	1	0.0279184745163	0.239188724773	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA
1	89009849	89253622	25	24	1	2	f	2	49	1	0.00704163251217	1.47566862991	24.775211	1.047668687	23.727542149	24	1	1	NA	NA	NA	NA	NA	NA	NA	7	0	7	24	1	1	NA	NA	NA	NA	NA	NA
1	89253623	89259595	25	24	1	2	d	2	49	1	0.05	0.1	24.775211	1.047668687	23.727542149	24	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	1	1	NA	NA	NA	NA	NA	NA
1	89259596	89267625	25	24	1	1	g	NA	49	1	0.05	0.1	NA	NA	NA	23	1	1	NA	NA	NA	NA	NA	NA	NA	7	0	7	24	1	1	NA	NA	NA	NA	NA	NA
1	89267626	89312455	25	24	1	1	g	NA	49	1	0.05	0.1	NA	NA	NA	24	1	1	NA	NA	NA	NA	NA	NA	NA	7	0	7	24	1	1	NA	NA	NA	NA	NA	NA
1	89312456	89340654	2	1	1	1	g	NA	49	1	0.05	0.1	NA	NA	NA	25	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA
1	89340655	121499999	2	1	1	2	d	4	0.9	0.9	0.027318568751	0.207043335795	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA
1	121500000	128899999	2	1	1	2	d	2	0.9	0.9	0.05	0.1	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	128900000	247247500	2	1	1	2	d	4	0.9	0.9	0.0281216629426	0.199550957431	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA
