chromosome	start	end	total_cn	major_cn	minor_cn	star	level	methods_agree	absolute_broad_major_cn	absolute_broad_minor_cn	absolute_broad_het_error	absolute_broad_cov_error	aceseq_copy_number	aceseq_minor_cn	aceseq_major_cn	battenberg_nMaj1_A	battenberg_nMin1_A	battenberg_frac1_A	battenberg_nMaj2_A	battenberg_nMin2_A	battenberg_frac2_A	battenberg_SDfrac_A	battenberg_SDfrac_A_BS	battenberg_frac1_A_0.025	battenberg_frac1_A_0.975	clonehd_copy_number	clonehd_minor_cn	clonehd_major_cn	sclust_nMaj1_A	sclust_nMin1_A	sclust_frac1_A	sclust_nMaj2_A	sclust_nMin2_A	sclust_frac2_A	jabba_copy_number	jabba_minor_cn	jabba_major_cn
1	1	16829420	2	1	1	2	d	4	1	1	0.0514857360328	0.10953814721	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	3	1	2	1	1	1	NA	NA	NA	NA	NA	NA
1	16829421	17007499	2	2	0	1	g	NA	1	1	0.05	0.206901774914	2	1	1	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	1	NA	NA	NA	NA	NA	NA
1	17007500	23216697	2	1	1	2	d	3	1	1	0.049798440319	0.103345527986	1.844829	0.92241469	0.9224147	1	1	1	NA	NA	NA	NA	NA	NA	NA	3	1	2	1	1	1	NA	NA	NA	NA	NA	NA
1	23216698	23905175	0	0	0	1	g	NA	1	0	0.0603060755067	0.0594037275614	1.844829	0.92241469	0.9224147	39	0	1	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	NA	NA	NA	NA	NA	NA
1	23905176	121499999	2	1	1	3	b	5	1	1	0.048158671602	0.101253151456	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA
1	121500000	128899999	2	1	1	2	d	4	1	1	0.05	0.1	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA
1	128900000	247247500	2	1	1	3	b	5	1	1	0.048374677485	0.106513441836	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA
1	247247501	249250620	2	1	1	2	d	4	NA	NA	NA	NA	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA
2	11320	48044990	2	1	1	2	d	4	1	1	0.0487216715181	0.0981858783168	2.148692	1.074346069	1.0743461	1	1	1	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA
2	48044991	48053528	2	1	1	2	f	3	1	1	0.05	0.1	2.148692	1.074346069	1.0743461	52	0	1	NA	NA	NA	NA	NA	NA	NA	1	0	1	1	1	1	NA	NA	NA	NA	NA	NA
2	48053529	89179989	2	1	1	3	b	5	1	1	0.0490746770397	0.102715710858	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA
2	89179990	89443829	0	0	0	1	g	NA	1	1	0.05	0.165359015173	2	1	1	34	0	1	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	NA	NA	NA	NA	NA	NA
2	89443830	90227499	3	3	0	1	g	NA	2	2	0.05	0.572723726966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	1	NA	NA	NA	NA	NA	NA
2	90227500	96799999	NA	NA	NA	NA	NA	NA	1	1	0.0596669903678	0.185129265675	1.575197	0.457434009	1.1177625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	0	0.919231	1	1	0.0807691	NA	NA	NA
2	96800000	242987004	2	1	1	3	b	5	1	1	0.0488508333253	0.112453577854	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA
3	100074	87899999	2	1	1	3	b	5	1	1	0.0479081254829	0.104446913716	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA
3	87900000	93899999	2	1	1	2	d	3	1	1	0.046798206394	0.0941730876571	2.13758	1.06879011	1.0687901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	NA	NA	NA	NA	NA	NA
