chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,2,2.00559427851656,2,SA01-Library-9-9
10,1,1.34e+08,2,2.01418532006343,2,SA01-Library-9-9
11,1,135500000,2,2.01048550237547,2,SA01-Library-9-9
12,1,133500000,2,1.99690691202136,2,SA01-Library-9-9
13,1,114500000,2,1.99604465487985,2,SA01-Library-9-9
14,1,107500000,2,1.99933341120615,2,SA01-Library-9-9
15,1,1.02e+08,2,1.99787426261432,2,SA01-Library-9-9
16,1,90500000,2,2.0091536645174,2,SA01-Library-9-9
17,1,7500000,2,1.96027629475138,2,SA01-Library-9-9
17,7500001,1.8e+07,1,0.978110297308405,2,SA01-Library-9-9
17,18000001,83500000,2,1.97941503855525,2,SA01-Library-9-9
18,1,80500000,2,1.99985280933122,2,SA01-Library-9-9
19,1,5.9e+07,2,1.98611541501283,2,SA01-Library-9-9
2,1,242500000,2,2.00524878010175,2,SA01-Library-9-9
20,1,64500000,2,2.01046849543155,2,SA01-Library-9-9
21,1,4.7e+07,2,2.03238699537286,2,SA01-Library-9-9
22,1,5.1e+07,2,1.98616251916217,2,SA01-Library-9-9
3,1,198500000,2,2.00487708587984,2,SA01-Library-9-9
4,1,190500000,2,1.99458230736473,2,SA01-Library-9-9
5,1,1.82e+08,2,2.00501776194344,2,SA01-Library-9-9
6,1,1.71e+08,2,1.98702373019373,2,SA01-Library-9-9
7,1,159500000,3,3.02865727173877,2,SA01-Library-9-9
8,1,145500000,2,2.00143366619843,2,SA01-Library-9-9
9,1,138500000,2,2.01026979604267,2,SA01-Library-9-9
X,1,156500000,2,1.97320997305669,2,SA01-Library-9-9
