chromosome	start	end	total_cn	major_cn	minor_cn	star	level	methods_agree	absolute_broad_major_cn	absolute_broad_minor_cn	absolute_broad_het_error	absolute_broad_cov_error	aceseq_copy_number	aceseq_minor_cn	aceseq_major_cn	battenberg_nMaj1_A	battenberg_nMin1_A	battenberg_frac1_A	battenberg_nMaj2_A	battenberg_nMin2_A	battenberg_frac2_A	battenberg_SDfrac_A	battenberg_SDfrac_A_BS	battenberg_frac1_A_0.025	battenberg_frac1_A_0.975	clonehd_copy_number	clonehd_minor_cn	clonehd_major_cn	sclust_nMaj1_A	sclust_nMin1_A	sclust_frac1_A	sclust_nMaj2_A	sclust_nMin2_A	sclust_frac2_A	jabba_copy_number	jabba_minor_cn	jabba_major_cn
1	10001	72771209	2	2	0	2	d	3	3	0	0.0652515697449	0.129955624821	2.81314	0.3194015	2.4937388	2	0	0.616212357736587	3	0	0.383787642263413	0.00558865753976268	0.00553790996051169	0.666245579680801	0.688143714242947	2	0	2	2	0	1	NA	NA	NA	2	0	2
1	72771210	121499999	2	2	0	2	d	3	3	0	0.0638142093258	0.118799234128	2.740096	0.299923	2.440173	2	0	0.616212357736587	3	0	0.383787642263413	0.00558865753976268	0.00553790996051169	0.666245579680801	0.688143714242947	2	0	2	2	0	1	NA	NA	NA	2	0	2
1	121500000	128899999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.740096	0.299923	2.440173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	NA	3	1	2
1	128900000	143441938	1	1	0	1	g	NA	2	0	0.05	0.475796771733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	NA	3	1	2
1	143441939	145068400	3	2	1	2	d	2	2	2	0.05	0.257586236469	NA	NA	NA	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	2
1	145068401	174751125	4	2	2	2	d	4	2	2	0.0407040818762	0.163719833331	4.293584	2.1467923	2.1467923	2	2	1	NA	NA	NA	NA	NA	NA	NA	4	2	2	NA	NA	NA	NA	NA	NA	4	2	2
1	174751126	174751966	4	2	2	2	d	3	NA	NA	NA	NA	4.293584	2.1467923	2.1467923	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	1	NA	NA	NA	4	2	2
1	174751967	174795539	4	2	2	3	a	6	2	2	0.05	0.1	4	2	2	2	2	1	NA	NA	NA	NA	NA	NA	NA	4	2	2	2	2	1	NA	NA	NA	4	2	2
1	174795540	174808316	2	2	0	1	g	NA	2	2	0.05	0.1	4	2	2	3	0	1	NA	NA	NA	NA	NA	NA	NA	2	0	2	2	2	1	NA	NA	NA	2	0	2
1	174808317	209311199	4	2	2	2	d	5	2	2	0.0384869390145	0.127772211097	4.268652	2.1343263	2.1343263	2	2	1	NA	NA	NA	NA	NA	NA	NA	4	2	2	2	2	1	NA	NA	NA	4	2	2
