"Chromosome","Bin","Clone_1_strand_1","Clone_1_strand_2","Clone_2_strand_1","Clone_2_strand_2","Clone_2_strand_3","Clone_3_strand_1","Clone_3_strand_2","Clone_4_strand_1","Clone_4_strand_2"
1,1,"A","B","A","B","NA","A","B","A","B"
1,2,"A","B","A","B","NA","A","B","A","B"
1,3,"A","B","A","B","NA","A","B","A","B"
1,4,"A","B","A","B","NA","A","B","A","B"
1,5,"A","B","A","B","NA","A","B","A","B"
1,6,"A","B","A","B","NA","A","B","A","B"
1,7,"A","B","A","B","NA","A","B","A","B"
1,8,"A","B","A","B","NA","A","B","A","B"
1,9,"A","B","A","B","NA","A","B","A","B"
1,10,"A","B","A","B","NA","A","B","A","B"
1,11,"A","B","A","B","NA","A","B","A","B"
1,12,"A","B","A","B","NA","A","B","A","B"
1,13,"A","B","A","B","NA","A","B","A","B"
1,14,"A","B","A","B","NA","A","B","A","B"
1,15,"A","B","A","B","NA","A","B","A","B"
1,16,"A","B","A","B","NA","A","B","A","B"
1,17,"A","B","A","B","NA","A","B","A","B"
1,18,"A","B","A","B","NA","A","B","A","B"
1,19,"A","B","A","B","NA","A","B","A","B"
1,20,"A","B","A","B","NA","A","B","A","B"
1,21,"A","B","A","B","NA","A","B","A","B"
1,22,"A","B","A","B","NA","A","B","A","B"
1,23,"A","B","A","B","NA","A","B","A","B"
1,24,"A","B","A","B","NA","A","B","A","B"
1,25,"A","B","A","B","NA","A","B","A","B"
1,26,"A","B","A","B","NA","A","B","A","B"
1,27,"A","B","A","B","NA","A","B","A","B"
1,28,"A","B","A","B","NA","A","B","A","B"
1,29,"A","B","A","B","NA","A","B","A","B"
1,30,"A","B","A","B","NA","A","B","A","B"
1,31,"A","B","A","B","NA","A","B","A","B"
1,32,"A","B","A","B","NA","A","B","A","B"
1,33,"A","B","A","B","NA","A","B","A","B"
1,34,"A","B","A","B","NA","A","B","A","B"
1,35,"A","B","A","B","NA","A","B","A","B"
1,36,"A","B","A","B","NA","A","B","A","B"
1,37,"A","B","A","B","NA","A","B","A","B"
1,38,"A","B","A","B","NA","A","B","A","B"
1,39,"A","B","A","B","NA","A","B","A","B"
1,40,"A","B","A","B","NA","A","B","A","B"
1,41,"A","B","A","B","NA","A","B","A","B"
1,42,"A","B","A","B","NA","A","B","A","B"
1,43,"A","B","A","B","NA","A","B","A","B"
1,44,"A","B","A","B","NA","A","B","A","B"
1,45,"A","B","A","B","NA","A","B","A","B"
1,46,"A","B","A","B","NA","A","B","A","B"
1,47,"A","B","A","B","NA","A","B","A","B"
1,48,"A","B","A","B","NA","A","B","A","B"
1,49,"A","B","A","B","NA","A","B","A","B"
1,50,"A","B","A","B","NA","A","B","A","B"
1,51,"A","B","A","B","NA","A","B","A","B"
1,52,"A","B","A","B","NA","A","B","A","B"
1,53,"A","B","A","B","NA","A","B","A","B"
1,54,"A","B","A","B","NA","A","B","A","B"
1,55,"A","B","A","B","NA","A","B","A","B"
1,56,"A","B","A","B","NA","A","B","A","B"
1,57,"A","B","A","B","NA","A","B","A","B"
1,58,"A","B","A","B","NA","A","B","A","B"
1,59,"A","B","A","B","NA","A","B","A","B"
1,60,"A","B","A","B","NA","A","B","A","B"
1,61,"A","B","A","B","NA","A","B","A","B"
1,62,"A","B","A","B","NA","A","B","A","B"
1,63,"A","B","A","B","NA","A","B","A","B"
1,64,"A","B","A","B","NA","A","B","A","B"
1,65,"A","B","A","B","NA","A","B","A","B"
1,66,"A","B","A","B","NA","A","B","A","B"
1,67,"A","B","A","B","NA","A","B","A","B"
1,68,"A","B","A","B","NA","A","B","A","B"
1,69,"A","B","A","B","NA","A","B","A","B"
1,70,"A","B","A","B","NA","A","B","A","B"
1,71,"A","B","A","B","NA","A","B","A","B"
1,72,"A","B","A","B","NA","A","B","A","B"
1,73,"A","B","A","B","NA","A","B","A","B"
1,74,"A","B","A","B","NA","A","B","A","B"
1,75,"A","B","A","B","NA","A","B","A","B"
1,76,"A","B","A","B","NA","A","B","A","B"
1,77,"A","B","A","B","NA","A","B","A","B"
1,78,"A","B","A","B","NA","A","B","A","B"
1,79,"A","B","A","B","NA","A","B","A","B"
1,80,"A","B","A","B","NA","A","B","A","B"
1,81,"A","B","A","B","NA","A","B","A","B"
1,82,"A","B","A","B","NA","A","B","A","B"
1,83,"A","B","A","B","NA","A","B","A","B"
1,84,"A","B","A","B","NA","A","B","A","B"
1,85,"A","B","A","B","NA","A","B","A","B"
1,86,"A","B","A","B","NA","A","B","A","B"
1,87,"A","B","A","B","NA","A","B","A","B"
1,88,"A","B","A","B","NA","A","B","A","B"
1,89,"A","B","A","B","NA","A","B","A","B"
1,90,"A","B","A","B","NA","A","B","A","B"
1,91,"A","B","A","B","NA","A","B","A","B"
1,92,"A","B","A","B","NA","A","B","A","B"
1,93,"A","B","A","B","NA","A","B","A","B"
1,94,"A","B","A","B","NA","A","B","A","B"
1,95,"A","B","A","B","NA","A","B","A","B"
1,96,"A","B","A","B","NA","A","B","A","B"
1,97,"A","B","A","B","NA","A","B","A","B"
1,98,"A","B","A","B","NA","A","B","A","B"
1,99,"A","B","A","B","NA","A","B","A","B"
1,100,"A","B","A","B","NA","A","B","A","B"
1,101,"A","B","A","B","NA","A","B","A","B"
1,102,"A","B","A","B","NA","A","B","A","B"
1,103,"A","B","A","B","NA","A","B","A","B"
1,104,"A","B","A","B","NA","A","B","A","B"
1,105,"A","B","A","B","NA","A","B","A","B"
1,106,"A","B","A","B","NA","A","B","A","B"
1,107,"A","B","A","B","NA","A","B","A","B"
1,108,"A","B","A","B","NA","A","B","A","B"
1,109,"A","B","A","B","NA","A","B","A","B"
1,110,"A","B","A","B","NA","A","B","A","B"
1,111,"A","B","A","B","NA","A","B","A","B"
1,112,"A","B","A","B","NA","A","B","A","B"
1,113,"A","B","A","B","NA","A","B","A","B"
1,114,"A","B","A","B","NA","A","B","A","B"
1,115,"A","B","A","B","NA","A","B","A","B"
1,116,"A","B","A","B","NA","A","B","A","B"
1,117,"A","B","A","B","NA","A","B","A","B"
1,118,"A","B","A","B","NA","A","B","A","B"
1,119,"A","B","A","B","NA","A","B","A","B"
1,120,"A","B","A","B","NA","A","B","A","B"
1,121,"A","B","A","B","NA","A","B","A","B"
1,122,"A","B","A","B","NA","A","B","A","B"
1,123,"A","B","A","B","NA","A","B","A","B"
1,124,"A","B","A","B","NA","A","B","A","B"
1,125,"A","B","A","B","NA","A","B","A","B"
1,126,"A","B","A","B","NA","A","B","A","B"
1,127,"A","B","A","B","NA","A","B","A","B"
1,128,"A","B","A","B","NA","A","B","A","B"
1,129,"A","B","A","B","NA","A","B","A","B"
1,130,"A","B","A","B","NA","A","B","A","B"
1,131,"A","B","A","B","NA","A","B","A","B"
1,132,"A","B","A","B","NA","A","B","A","B"
1,133,"A","B","A","B","NA","A","B","A","B"
1,134,"A","B","A","B","NA","A","B","A","B"
1,135,"A","B","A","B","NA","A","B","A","B"
1,136,"A","B","A","B","NA","A","B","A","B"
1,137,"A","B","A","B","NA","A","B","A","B"
1,138,"A","B","A","B","NA","A","B","A","B"
1,139,"A","B","A","B","NA","A","B","A","B"
1,140,"A","B","A","B","NA","A","B","A","B"
1,141,"A","B","A","B","NA","A","B","A","B"
1,142,"A","B","A","B","NA","A","B","A","B"
1,143,"A","B","A","B","NA","A","B","A","B"
1,144,"A","B","A","B","NA","A","B","A","B"
1,145,"A","B","A","B","NA","A","B","A","B"
1,146,"A","B","A","B","NA","A","B","A","B"
1,147,"A","B","A","B","NA","A","B","A","B"
1,148,"A","B","A","B","NA","A","B","A","B"
1,149,"A","B","A","B","NA","A","B","A","B"
1,150,"A","B","A","B","NA","A","B","A","B"
1,151,"A","B","A","B","NA","A","B","A","B"
1,152,"A","B","A","B","NA","A","B","A","B"
1,153,"A","B","A","B","NA","A","B","A","B"
1,154,"A","B","A","B","NA","A","B","A","B"
1,155,"A","B","A","B","NA","A","B","A","B"
1,156,"A","B","A","B","NA","A","B","A","B"
1,157,"A","B","A","B","NA","A","B","A","B"
1,158,"A","B","A","B","NA","A","B","A","B"
1,159,"A","B","A","B","NA","A","B","A","B"
1,160,"A","B","A","B","NA","A","B","A","B"
1,161,"A","B","A","B","NA","A","B","A","B"
1,162,"A","B","A","B","NA","A","B","A","B"
1,163,"A","B","A","B","NA","A","B","A","B"
1,164,"A","B","A","B","NA","A","B","A","B"
1,165,"A","B","A","B","NA","A","B","A","B"
1,166,"A","B","A","B","NA","A","B","A","B"
1,167,"A","B","A","B","NA","A","B","A","B"
1,168,"A","B","A","B","NA","A","B","A","B"
1,169,"A","B","A","B","NA","A","B","A","B"
1,170,"A","B","A","B","NA","A","B","A","B"
1,171,"A","B","A","B","NA","A","B","A","B"
1,172,"A","B","A","B","NA","A","B","A","B"
1,173,"A","B","A","B","NA","A","B","A","B"
1,174,"A","B","A","B","NA","A","B","A","B"
1,175,"A","B","A","B","NA","A","B","A","B"
1,176,"A","B","A","B","NA","A","B","A","B"
1,177,"A","B","A","B","NA","A","B","A","B"
